Gmt time,Open,High,Low,Close,Volume
17.03.2019 21:00:00.000,1.13201,1.13589,1.13189,1.13388,252525.64159999997
18.03.2019 21:00:00.000,1.13388,1.13615,1.13295,1.13507,272469.3208
19.03.2019 21:00:00.000,1.13508,1.14480,1.13354,1.14130,363149.69659999997
20.03.2019 21:00:00.000,1.14129,1.14373,1.13425,1.13734,359013.25979999994
21.03.2019 21:00:00.000,1.13728,1.13905,1.12732,1.13004,413563.2645000001
22.03.2019 21:00:00.000,1.13004,1.13004,1.13004,1.13004,0
23.03.2019 21:00:00.000,1.13004,1.13004,1.13004,1.13004,0
24.03.2019 21:00:00.000,1.12892,1.13314,1.12883,1.13119,333540.579
25.03.2019 21:00:00.000,1.13117,1.13259,1.12632,1.12654,341540.2492
26.03.2019 21:00:00.000,1.12654,1.12855,1.12421,1.12435,417698.0301000001
27.03.2019 21:00:00.000,1.12435,1.12612,1.12135,1.12211,430559.39319999993
28.03.2019 21:00:00.000,1.12211,1.12466,1.12098,1.12179,436718.5814999999
29.03.2019 21:00:00.000,1.12179,1.12179,1.12179,1.12179,0
30.03.2019 21:00:00.000,1.12179,1.12179,1.12179,1.12179,0
31.03.2019 21:00:00.000,1.12254,1.12498,1.12039,1.12122,412209.1987
01.04.2019 21:00:00.000,1.12120,1.12160,1.11836,1.12040,440588.83970000007
02.04.2019 21:00:00.000,1.12043,1.12547,1.12000,1.12320,459490.9804
03.04.2019 21:00:00.000,1.12321,1.12475,1.12059,1.12199,383271.84209999995
04.04.2019 21:00:00.000,1.12198,1.12472,1.12099,1.12142,346356.78719999996
05.04.2019 21:00:00.000,1.12142,1.12142,1.12142,1.12142,0
06.04.2019 21:00:00.000,1.12142,1.12142,1.12142,1.12142,0
07.04.2019 21:00:00.000,1.12138,1.12744,1.12118,1.12616,379705.5689000001
08.04.2019 21:00:00.000,1.12604,1.12842,1.12549,1.12612,387174.0097
09.04.2019 21:00:00.000,1.12614,1.12876,1.12294,1.12731,434523.7744999999
10.04.2019 21:00:00.000,1.12730,1.12873,1.12498,1.12513,378748.4304
11.04.2019 21:00:00.000,1.12513,1.13239,1.12511,1.12976,415527.5331
12.04.2019 21:00:00.000,1.12976,1.12976,1.12976,1.12976,0
13.04.2019 21:00:00.000,1.12976,1.12976,1.12976,1.12976,0
